source,target
339,175
368,460
340,380
60,46
442,22
369,237
274,425
230,396
462,170
188,450
275,267
285,260
433,373
9,316
312,267
395,402
312,61
99,267
116,120
341,350
10,103
342,267
408,446
343,267
154,381
100,130
434,379
11,63
37,418
345,164
26,267
73,197
370,384
307,448
370,458
397,453
371,94
217,164
217,427
38,452
217,221
313,413
231,451
346,90
155,418
346,390
232,432
144,387
314,386
435,266
445,394
347,168
39,53
62,451
118,423
398,245
119,259
145,413
189,326
348,267
190,129
373,433
102,270
286,74
399,426
12,261
349,425
121,393
400,226
192,450
401,293
410,95
378,258
402,31
317,23
162,163
27,455
123,208
79,43
64,386
193,169
277,96
291,290
13,132
0,48
17,199
319,245
45,163
247,125
75,276
18,133
28,303
75,2
200,176
103,456
374,236
103,215
382,128
158,333
103,116
350,341
50,238
375,457
218,89
298,315
288,81
437,261
421,16
15,384
146,213
146,395
422,52
234,331
146,320
204,316
124,318
104,321
104,141
134,294
41,278
438,334
195,204
172,165
159,43
279,449
86,205
279,191
256,156
300,50
29,24
76,431
51,126
30,454
257,419
325,289
351,264
77,292
240,263
351,57
160,411
207,44
1,84
447,90
424,166
161,287
280,417
424,203
377,451
403,287
78,90
241,198
78,353
105,311
55,389
196,383
147,295
209,54
235,177
106,255
235,318
388,415
352,417
327,297
32,296
328,414
107,167
269,414
281,426
281,399
179,16
138,321
179,418
179,91
92,329
179,96
179,97
391,378
304,246
148,140
141,321
404,323
212,211
180,47
180,137
213,443
66,451
142,337
66,231
330,384
354,80
243,18
149,131
214,444
149,239
392,136
405,210
143,49
67,85
332,91
68,324
95,93
68,285
25,88
308,265
244,46
355,237
271,379
219,171
96,418
181,98
96,179
227,335
429,379
366,112
216,412
216,174
115,385
367,386
336,268
252,101
461,262
272,418
36,20
273,199
228,430
338,19
229,253
253,229
364,279
364,254
365,236
365,35
366,68
366,324
367,187
367,112
368,147
368,22
369,147
369,276
370,244
370,170
371,194
371,70
372,137
372,249
373,57
373,277
374,126
374,64
375,136
375,289
376,48
376,105
377,70
377,155
378,29
378,24
379,330
379,280
380,93
380,244
381,268
381,346
382,218
382,89
383,284
383,121
384,363
384,151
385,350
385,341
386,106
386,238
387,161
387,65
388,168
388,114
389,51
389,126
390,33
390,318
391,242
391,185
392,162
392,163
393,328
393,208
394,284
394,170
395,146
395,320
396,46
396,82
397,81
397,288
398,296
398,258
399,220
399,311
400,149
400,260
401,279
401,302
402,227
402,336
403,106
403,94
404,124
404,318
405,339
405,175
406,105
406,169
407,152
407,82
408,106
408,261
409,363
409,123
410,54
410,64
411,128
411,92
412,311
412,254
413,42
413,187
414,362
414,71
415,126
415,68
416,133
416,225
417,78
417,353
418,295
418,258
419,208
419,334
420,277
420,136
421,94
421,232
422,266
422,291
423,40
423,52
424,147
424,258
425,118
425,157
426,211
426,3
427,32
427,296
428,280
428,254
429,94
429,238
430,344
430,224
431,92
431,334
432,243
432,275
433,196
433,224
434,81
434,178
435,106
435,232
436,172
436,159
437,242
437,42
438,101
438,78
439,254
439,280
440,14
440,3
441,151
441,123
442,42
442,58
443,353
443,78
444,264
444,142
445,213
445,61
446,208
446,150
447,45
447,99
448,198
448,65
449,341
449,128
450,320
450,305
451,171
451,219
452,228
452,123
453,126
453,170
454,190
454,129
455,73
455,148
456,266
456,362
457,275
457,237
458,275
458,264
459,163
459,162
460,158
460,136
461,143
461,49
462,65
462,280
