node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
3,-0.185793,-0.078955,-0.424744,0.145117,0.043411,-0.099738,-0.199331,0.025799,0.39414,0.216179,0.193158,-0.441503,0.019502,-0.071609,-0.324436,-0.069519,-0.178889,0.575531,-0.041491,-0.086349,-0.308768,0.357006,-0.406624,0.328392,-0.008214,0.549812,0.061495,-0.374975,-0.174467,0.203476,0.069908,0.179281,0.110097,0.267236,0.259288,-0.269173,-0.099264,-0.002644,0.124912,0.151986,0.225404,-0.020918,0.06229,0.045392,0.185325,0.105447,-0.004229,-0.033413,0.529754,-0.013815,-0.081556,0.050437,0.056816,0.066566,-0.083965,0.16285,-0.099783,-0.112897,0.130675,0.120346,0.508206,0.03722,0.069268,-0.378567,-0.124851,0.521362,-0.16893,0.060528,0.497635,-0.127568,-0.167438,-0.108778,0.110009,-0.131214,-0.149503,-0.299124,-0.052343,0.104531,0.07082,-0.199933,-0.037116,0.020508,0.693582,-0.294945,-0.016752,0.036118,-0.503365,0.019519,0.971226,0.230013,0.134674,-0.144731,0.059224,0.179933,-0.119836,0.0844,-0.049049,-0.158896,0.096517,-0.050176,-0.033807,0.712402,-0.109463,-0.174701,0.271208,0.061122,-0.277289,0.149205,0.104856,0.411285,-0.32748,-0.107176,0.226931,0.025743,0.065579,-0.220122,0.306553,0.08865,0.105578,-0.079514,-0.155368,-0.009921,0.385607,-0.008596,0.251648,0.163038,-0.222768,-0.085662
4,-0.218269,0.262561,-0.180123,-0.140302,-0.124818,0.036374,-0.417402,-0.183198,0.095588,-0.232011,0.203894,-0.821416,0.101824,0.090224,-0.261506,-0.08695,0.229572,0.337468,0.108636,0.09873,-0.131763,0.030571,-0.076519,0.255858,-0.037442,0.396324,0.246837,-0.350574,0.062573,-0.372588,0.064303,-0.170154,-0.207975,0.204012,0.26691,-0.14952,-0.090524,0.166061,0.085892,0.28855,0.351011,0.036368,0.33213,0.088344,0.330712,-0.110418,0.196089,-0.235038,0.339494,0.128018,0.430214,0.222927,-0.056695,0.10684,0.046367,0.342932,0.157608,-0.115948,-0.12617,0.017677,0.378108,-0.214496,0.141128,0.073956,-0.207268,0.466864,-0.492336,0.195049,0.991925,-0.380474,-0.412303,-0.078086,0.009353,0.159328,-0.109081,-0.242731,0.14103,-0.008233,-0.301722,-0.338894,-0.222744,0.476428,0.985586,-0.266137,0.235008,-0.129264,-0.647091,-0.04467,0.874056,0.33166,-0.052607,-0.003051,-0.19976,0.0382,-0.213814,0.046626,-0.10693,-0.022426,-0.253333,-0.184482,0.17469,0.859952,-0.40422,-0.289826,0.431901,-0.10966,-0.047603,0.194582,-0.14575,0.384668,-0.305974,-0.013642,0.166386,-0.005016,0.090858,0.359856,0.112349,-0.05792,0.056114,-0.030996,-0.359873,-0.028787,0.508546,-0.221646,0.195711,0.099152,-0.055813,-0.217462
5,0.0453,0.058932,-0.212888,0.116955,0.080181,-0.108184,-0.47445,-0.200869,0.26036,0.036784,0.046715,-0.342581,0.141897,-0.051517,-0.339134,0.014267,0.042845,0.453692,-0.10721,-0.233957,-0.257993,0.309273,-0.39387,0.017674,0.037258,0.389387,0.141694,-0.228878,-0.005114,0.017571,-0.216852,0.090775,0.041272,-0.017782,0.126154,-0.28313,-0.200838,0.075224,0.00576,0.099176,0.188845,-0.115117,0.223235,0.089404,0.086129,0.125009,0.199018,-0.106247,0.320143,-0.04711,0.283314,0.160456,-0.039788,-0.134364,-0.009411,0.093953,-0.112476,-0.162677,0.072475,0.001195,0.341235,-0.03021,0.203557,-0.214991,0.048257,0.343,-0.246798,-0.130843,0.397413,-0.300809,-0.091189,-0.071892,0.04748,-0.249861,-0.162547,-0.330996,-0.087302,0.029301,0.078502,-0.252472,-0.107993,0.051521,0.761259,-0.252077,0.09913,-0.047781,-0.479424,0.064977,0.865092,0.022912,0.283677,-0.145032,0.046486,-0.045356,-0.048811,0.004056,0.019186,-0.074149,0.059782,-0.076207,-0.16677,0.731071,-0.115394,-0.183747,0.318461,0.175441,-0.150574,0.121831,-0.027166,0.089069,-0.499282,-0.206512,0.029057,0.082822,0.108218,0.006204,0.179345,-0.026251,0.05814,-0.146833,-0.140048,-0.068591,0.371361,0.14748,0.103595,0.132449,-0.003381,-0.125723
6,-0.175622,0.097788,0.103966,0.042108,0.114116,-0.244788,-0.3263,-0.088067,-0.137378,0.019154,-0.207132,-0.351962,0.085728,-0.03083,-0.455244,0.129861,0.160137,0.65106,0.295735,-0.080332,-0.347034,0.196731,-0.21396,0.059632,-0.009547,0.485587,-0.055368,-0.12852,-0.061905,0.045404,-0.172283,-0.16293,-0.06148,0.363217,-0.035148,0.060249,-0.179499,0.02878,0.253395,0.010818,0.268461,-0.08345,0.274228,-0.126627,0.203439,0.32643,-0.028382,-0.162188,0.363558,-0.034463,0.227388,0.047477,-0.015155,-0.057342,-0.092934,0.046514,0.078389,-0.221881,-0.167428,-0.06193,0.241644,-0.143732,0.176779,-0.194036,0.027075,0.172942,-0.045604,0.049198,0.728917,-0.292824,-0.18466,-0.057789,-0.09526,-0.321642,0.013365,-0.181121,0.166991,0.390615,-0.047952,-0.244916,-0.267581,0.046886,0.617837,-0.388895,0.292415,-0.166288,-0.404446,-0.027123,0.963817,-0.028986,0.412177,-0.174975,0.111268,-0.119699,-0.123422,-0.109774,-0.060762,0.01257,0.074254,-0.257636,-0.081265,0.658396,-0.0299,-0.186456,0.155098,0.297135,-0.122187,0.163766,0.245666,0.308417,-0.235978,-0.190724,0.140297,0.295606,0.41778,0.106098,0.060005,-0.110732,-0.069978,-0.081986,-0.237062,0.056522,0.33335,-0.22526,0.079698,0.195671,-0.004239,-0.091086
7,-0.299263,0.021533,-0.153986,0.094396,-0.207493,0.000614,-0.586689,-0.123103,0.146045,0.079809,-0.021639,-0.170496,0.090241,0.052388,-0.116588,-0.075749,-0.016312,0.661336,-0.135862,-0.085617,-0.364122,0.123122,-0.56487,0.178993,-0.096025,0.717583,0.09417,-0.38524,-0.106524,0.188914,-0.235561,0.01042,0.010384,0.145602,0.182355,-0.0924,-0.146378,0.068014,0.080193,0.133296,0.224716,0.081026,-0.034382,0.015997,0.088441,0.092247,0.047466,-0.103283,0.263326,0.04305,0.143976,0.09725,-0.14862,-0.023853,-0.127552,-0.057156,-0.051486,-0.305954,0.072242,0.144157,0.292365,-0.122853,0.067854,-0.270552,0.067611,0.331638,-0.019402,0.156442,0.387245,-0.389305,0.120483,-0.17519,0.238646,0.0311,0.046739,-0.063689,0.082193,0.370504,-0.027086,-0.226403,-0.041982,-0.130316,0.901998,-0.137219,0.024798,0.122365,-0.467536,0.073137,1.044883,0.080925,0.191151,-0.099019,0.155754,0.014995,-0.040108,0.258485,-0.107099,-0.059007,0.067131,-0.011519,-0.080187,0.584842,-0.088501,-0.002468,0.38131,0.271286,-0.329151,0.31692,0.076731,0.28351,-0.204951,-0.217383,0.020047,0.097069,0.116988,-0.052554,0.100646,0.028669,-0.046509,0.019353,-0.256785,-0.129225,0.35013,0.179231,0.278997,0.088671,-0.154844,-0.045014
8,-0.196417,0.007424,-0.060775,-0.039317,0.12501,-0.037413,-0.320952,-0.120953,0.208253,-0.042946,0.062504,-0.510528,0.171709,0.089459,-0.238958,-0.065749,-0.009304,0.516471,-0.085515,-0.210108,-0.302245,0.157222,-0.353195,0.194901,-0.116033,0.436422,0.074673,-0.277334,-0.14633,0.088745,-0.146793,-0.005311,-0.088702,0.12149,0.21809,-0.241259,-0.145707,0.148064,0.122446,0.098036,0.136242,0.156059,0.199601,-0.008605,0.14919,0.07013,0.011492,-0.043846,0.215107,0.068741,0.149367,0.073044,-0.226709,0.10561,-0.052624,-0.005707,-0.051684,-0.196933,0.011325,0.005798,0.419578,-0.040045,0.115878,-0.071626,0.03625,0.371827,-0.254778,0.052039,0.380068,-0.314103,-0.108219,-0.099736,0.144705,0.060402,-0.161541,-0.099923,0.036771,0.346561,0.014821,-0.179447,-0.161672,0.082261,0.854344,-0.232684,0.009092,0.070097,-0.515223,-0.036268,0.936621,0.03479,0.217464,0.075643,0.123651,-0.151865,-0.032364,0.135812,-0.099078,0.086336,0.203044,-0.15978,-0.052042,0.680906,-0.222271,-0.25282,0.454829,-0.05213,-0.284876,0.225373,0.006864,0.376675,-0.142177,-0.009014,0.011613,-0.05011,0.303413,0.002167,0.061866,-0.004568,-0.031124,-0.031433,-0.233345,-0.122489,0.32788,0.076673,0.17642,0.056334,-0.003654,-0.100712
14,-0.081848,-0.01248,-0.145743,-0.012248,0.130795,0.095331,-0.386873,-0.11375,0.060048,-0.050724,0.066968,-0.235251,0.198701,0.088854,-0.29406,-0.038113,-0.174481,0.555868,0.152777,-0.193478,-0.123773,0.128405,-0.323194,0.058645,-0.090306,0.354011,0.076914,-0.383263,-0.126379,0.109268,-0.14238,0.023961,-0.123605,0.172508,0.154731,-0.140259,-0.201513,-0.044329,-0.082823,0.176603,0.292277,-0.001875,0.213328,-0.022007,0.183215,0.073315,0.051133,0.014453,0.348249,-0.0334,0.137465,0.007276,-0.002217,-0.059408,0.025389,-0.119642,-0.281811,0.076975,0.032422,-0.072784,0.248974,-0.100018,0.27887,-0.299855,-0.133185,0.183423,0.003619,-0.074488,0.551924,-0.317397,-0.211168,-0.214911,0.10561,-0.294984,-0.244767,-0.356696,0.213394,0.102987,-0.012559,-0.2237,-0.143817,-0.104376,0.610613,-0.173084,-0.064207,0.108798,-0.510547,-0.019079,0.952311,0.287333,0.343569,-0.069185,0.015878,-0.068661,0.041243,0.050112,0.144989,0.214365,0.044248,-0.044118,0.082895,0.723824,-0.231303,-0.301,0.233164,0.024535,-0.180445,0.035214,0.075989,0.153948,-0.207557,-0.133616,0.052129,0.062599,0.115956,0.063755,0.308935,0.078878,-0.088068,-0.059037,-0.127484,-0.122699,0.201002,-0.15025,0.112382,0.126705,-0.003536,-0.27731
21,-0.05435,0.071337,-0.177282,0.06911,0.245542,-0.008063,-0.627627,-0.160765,0.267598,-0.085766,0.123399,-0.406048,0.143159,0.123303,-0.561916,0.219501,-0.062196,0.606518,0.076943,-0.217654,-0.295325,0.049036,-0.453142,-0.135406,-0.080083,0.301851,0.218908,-0.411264,-0.206415,0.17286,-0.138406,0.027739,0.018693,0.060198,0.173538,-0.228886,-0.221989,0.298789,0.00162,0.225898,0.405943,0.037817,0.405075,-0.107272,0.107639,0.085236,0.289962,-0.175415,0.261159,-0.0011,0.241894,0.084134,-0.068623,-0.05755,-0.141288,-0.038456,-0.00275,-0.210944,-0.114419,-0.036031,0.240116,0.082596,0.188528,-0.074673,-0.058003,0.246544,-0.347067,0.111143,0.336702,-0.335002,-0.261856,0.022384,0.030644,-0.259228,-0.051109,-0.370742,0.15717,0.230892,0.155474,-0.067766,0.078363,-0.106391,0.645711,-0.253934,0.157812,-0.061343,-0.472155,-0.0397,0.917212,0.101307,0.392399,0.164243,0.031014,-0.128043,-0.108613,-0.050662,-0.10988,0.064166,-0.147911,-0.160052,-0.147811,0.681749,-0.044379,-0.373029,0.412468,-0.051311,0.145977,-0.052964,0.05181,0.21224,-0.403586,-0.264859,-0.116223,-0.225643,0.378752,0.245241,0.067618,-0.154333,0.031596,-0.025446,-0.166293,-0.239981,0.215248,-0.103775,-0.117319,0.073983,0.156217,-0.193548
33,-0.064091,-0.01591,-0.149627,-0.050566,0.219314,0.034751,-0.288617,-0.155758,0.194819,0.144478,0.006078,-0.445831,0.079873,0.001839,-0.289932,0.02188,-0.042719,0.56461,-0.006548,-0.239823,-0.207492,0.164742,-0.338242,0.073669,-0.116205,0.430436,0.038261,-0.314833,-0.00614,0.061033,-0.264384,-0.026693,-0.018703,0.161322,0.105985,-0.076231,-0.123104,0.03546,0.063224,0.197833,0.269936,0.124473,0.236604,-0.035767,0.045508,0.178788,0.14719,0.007339,0.293141,0.001739,0.229567,0.001999,-0.092277,-0.075121,-0.126407,0.119591,0.014968,-0.252801,0.017521,-0.08372,0.421356,0.015343,0.370321,-0.119201,0.163296,0.348216,-0.230794,0.063057,0.376015,-0.445214,-0.185724,-0.089939,-0.03714,-0.113036,-0.034789,-0.220926,0.334234,0.216883,0.030023,-0.124282,-0.089929,-0.050526,0.762385,-0.260756,0.255871,0.062695,-0.377567,0.005818,0.860559,0.059069,0.40908,-0.127023,0.186248,-0.06881,0.001617,-0.038272,-0.004407,0.259472,0.099385,-0.208199,0.005529,0.73107,-0.190621,-0.33992,0.212321,0.124193,-0.118833,0.035567,0.206788,0.303639,-0.192083,-0.334884,0.044125,0.007478,0.346392,0.164963,0.018683,-0.056423,-0.159966,0.123982,-0.207924,0.007806,0.382583,-0.322599,0.084071,0.096171,-0.018101,-0.089531
34,-0.093182,0.058712,-0.183248,-0.039631,-0.066092,-0.043429,-0.298694,-0.151709,-0.020407,0.231341,-0.031761,-0.342869,0.107003,0.027199,-0.177996,0.095082,-0.054842,0.618006,-0.024439,-0.257626,-0.198376,0.418246,-0.44793,0.149337,-0.244912,0.413752,0.184735,-0.474595,-0.037698,-0.025999,-0.154544,0.106133,0.020986,0.054125,-0.068683,-0.234693,0.031097,0.032225,0.004261,0.176883,0.203355,-0.204589,0.074228,-0.109286,0.147689,-0.016363,0.18627,-0.037746,0.346162,0.150757,0.302994,0.190103,0.033378,-0.26048,-0.092485,0.101597,0.010195,-0.085935,-0.158283,-0.047411,0.374223,0.091007,0.166587,-0.086615,0.031741,0.364453,-0.152948,0.054606,0.440682,-0.305065,0.044467,-0.052999,0.11986,-0.143961,-0.019245,-0.395171,0.117542,0.036419,0.093369,-0.209326,-0.161869,0.073085,0.724635,-0.188856,0.191094,0.071199,-0.346002,-0.095352,0.863443,0.170142,0.197548,0.01976,0.094954,0.128499,0.05939,0.015231,-0.005126,0.028184,0.007797,-0.22106,0.151914,0.810978,-0.214989,-0.129087,0.237365,0.089179,-0.155212,0.100283,0.049249,0.239181,-0.271004,-0.030229,0.225109,0.027004,0.210018,0.140663,0.091702,-0.102389,-0.031008,-0.10674,-0.161134,0.063889,0.452458,-0.293381,0.317472,0.161151,-0.293084,-0.220079
