source,target
339,175
356,117
190,129
373,433
340,380
439,87
286,74
60,46
357,206
12,261
274,425
121,393
34,436
192,450
462,170
358,178
410,95
275,267
358,33
317,23
109,386
433,373
123,208
249,14
395,402
3,97
193,169
99,267
3,194
13,132
341,350
222,458
319,245
342,267
343,267
4,393
75,276
75,2
100,130
110,139
374,236
434,379
183,452
158,333
345,164
359,390
26,267
375,457
440,83
440,170
307,448
288,81
150,177
15,384
397,453
150,40
217,164
234,331
217,427
35,450
124,318
35,330
217,221
41,278
223,58
346,90
195,204
360,194
346,390
159,43
309,386
309,215
144,387
256,156
361,237
435,266
76,431
184,428
347,168
184,376
257,419
62,451
5,127
77,292
398,245
69,157
160,411
447,90
145,413
362,202
161,287
348,267
363,302
377,451
102,270
78,90
406,135
78,353
399,426
406,305
349,425
196,383
250,306
235,177
400,226
364,386
235,318
401,293
70,120
378,258
402,31
441,416
162,163
27,455
151,267
151,424
79,43
64,386
6,38
277,96
291,290
365,39
0,48
17,199
45,163
152,59
247,125
71,454
18,133
28,303
185,56
200,176
103,456
111,229
382,128
103,215
111,253
103,116
50,238
350,341
7,417
283,82
298,315
218,89
153,21
421,16
437,261
146,213
407,254
422,52
146,395
407,233
146,320
204,316
104,321
8,173
104,141
134,294
224,299
438,334
172,165
225,301
279,449
86,205
72,456
279,191
300,50
284,326
29,24
51,126
310,201
30,454
325,289
113,173
113,428
351,264
240,263
113,65
351,57
251,127
207,44
251,326
1,84
424,166
186,322
280,417
424,203
114,409
403,287
241,198
187,420
105,311
187,116
55,389
226,42
147,295
209,54
227,335
106,255
388,415
352,417
366,112
327,297
32,296
115,385
328,414
367,386
107,167
269,414
281,426
252,101
281,399
138,321
179,16
179,418
36,20
179,91
179,96
92,329
228,430
179,97
391,378
229,253
253,229
148,140
304,246
368,460
141,321
404,323
442,22
212,211
180,47
369,237
180,137
213,443
230,396
66,451
142,337
188,450
66,231
285,260
330,384
354,80
9,316
243,18
312,267
149,131
214,444
312,61
149,239
116,120
392,136
10,103
405,210
143,49
408,446
67,85
332,91
154,381
68,324
95,93
68,285
11,63
37,418
25,88
308,265
73,197
244,46
355,237
370,384
370,458
271,379
219,171
371,94
96,418
181,98
38,452
96,179
181,122
313,413
231,451
429,379
282,82
155,418
216,412
108,459
232,432
216,174
108,242
314,386
336,268
182,318
445,394
39,53
461,262
248,344
272,418
118,423
273,199
2,372
119,259
338,19
220,53
189,326
