id,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,28,-6.0506024,-6.3370523,-3.7527065,-4.6953526,-6.524357,-5.1696177,-6.0087876,-5.741924,-3.4067366,-3.4744234,-2.800077,-5.1123238,-6.04496,-8.490346,-5.518739,-6.279822,-3.9383454,-7.3603477,-7.8266296,-6.1736784,-4.168482,-5.7431726,-4.5387506,-6.084942,-2.280534,-8.031146,-3.2080355,-6.195244,-0.7302847,-6.5274677,-2.7913105,-6.320633,-6.476886,-4.1191278,-4.531708,-6.1500206,-6.3949256,-5.5890365,-3.8522027,-4.82022
1,28,-5.813057,-5.949471,-4.2356863,-4.319689,-5.6329403,-5.2098684,-6.128247,-5.410005,-3.3494086,-4.1027093,-3.0606956,-5.0112085,-5.8098164,-7.291862,-5.6282926,-6.085231,-3.7786646,-7.365286,-6.9714746,-5.7297287,-4.957791,-5.62087,-4.368376,-5.537405,-1.33033,-7.3469124,-2.9519458,-6.7649946,-1.2412423,-6.009701,-2.3256326,-5.169945,-6.4733524,-4.900447,-4.4549074,-5.8031163,-5.1892247,-4.9157734,-3.620717,-5.360677
2,28,-6.87602,-6.387313,-6.940785,-6.4361367,-6.0292296,-5.7867346,-8.9432745,-6.9545054,-3.2019804,-5.1226015,-5.8995824,-6.771697,-7.49866,-8.6249,-7.299996,-6.9904757,-4.6713033,-9.252569,-7.522035,-6.965676,-6.292967,-7.525602,-6.243502,-8.557354,-2.3116362,-7.6264596,-3.8188038,-8.819464,-0.2888873,-6.8634505,-3.5441594,-7.0053434,-8.089182,-6.357994,-4.807163,-6.928443,-6.9570937,-6.7035904,-5.6854463,-6.544022
3,28,-5.225426,-5.568938,-4.3753967,-5.314575,-3.540976,-4.655664,-6.9939046,-5.396164,-4.0772457,-4.1520267,-4.520608,-5.644261,-5.7837467,-7.6693215,-5.261229,-5.600582,-3.502746,-7.223769,-5.6710515,-6.0047474,-5.3094144,-5.8988485,-3.9840102,-6.3988132,-1.3661116,-5.605264,-3.3703494,-8.040389,-1.1528476,-5.6921353,-2.108881,-5.718575,-5.898957,-4.5450654,-3.685007,-5.335677,-4.737886,-5.3505645,-5.163154,-5.227854
4,28,-5.383806,-5.5567455,-4.4005203,-5.330576,-4.9976225,-4.663598,-7.4672804,-5.813986,-3.0439866,-3.4533455,-4.1108584,-5.627571,-5.9502745,-7.2629585,-5.365903,-5.739978,-3.155051,-7.1800346,-6.427456,-5.8245897,-4.5272636,-5.886318,-4.883007,-6.95028,-1.4638522,-6.7657194,-4.094878,-6.171666,-0.98027635,-5.893878,-2.6815276,-6.1637344,-6.0089693,-4.949567,-3.3138824,-5.6260386,-6.5745087,-4.8358154,-4.6452856,-5.1321974
5,24,-5.837063,-5.0468483,-4.645944,-4.2948356,-6.261197,-6.0442076,-5.9030447,-5.690386,-4.418287,-4.1915884,-3.4688046,-5.7447815,-6.075637,-6.330207,-5.918475,-6.329542,-2.9088368,-6.9542503,-7.018877,-6.16098,-4.8437304,-5.780572,-5.201437,-5.9260044,-1.3567669,-6.6772556,-2.9250937,-6.201599,-1.9886124,-6.388027,-1.3597655,-4.700444,-6.745406,-5.293729,-4.712647,-6.2350464,-6.962101,-4.584058,-2.8466263,-5.4860954
6,24,-5.494939,-4.622864,-5.821193,-5.528765,-4.687122,-5.10388,-7.174776,-5.8288627,-2.8450189,-4.51512,-4.365074,-5.637332,-5.9182143,-6.0314517,-5.978264,-5.5519905,-2.7668183,-7.1394644,-5.7475824,-6.021167,-5.714943,-5.990284,-5.0232434,-6.3993077,-1.0867711,-5.379404,-4.035417,-6.832988,-1.5319291,-5.715851,-1.9791342,-5.097394,-6.193858,-5.4153237,-3.5107775,-5.626173,-5.703826,-5.190151,-5.5098057,-5.9275174
7,30,-6.527291,-4.908905,-6.521799,-5.560875,-6.049115,-6.1274085,-7.2006416,-6.6286974,-5.1162643,-5.298795,-4.970549,-7.3606243,-6.8557954,-6.027615,-7.014649,-6.2243643,-3.249594,-7.7604523,-6.228747,-7.7032228,-6.681333,-6.826523,-6.1860533,-6.355402,-1.34865,-5.888741,-3.895483,-8.409164,-3.292564,-6.6215825,-0.59968287,-4.781631,-7.03895,-6.1321692,-4.9387903,-6.804228,-8.057208,-5.2858787,-4.5962286,-6.932127
8,24,-5.8737044,-4.4548945,-5.9475055,-5.62943,-5.026955,-5.0558553,-7.274018,-6.3901362,-3.6279783,-4.1764193,-4.556353,-6.2166047,-6.1058326,-5.578059,-6.2052474,-5.537541,-2.6462865,-7.1717024,-5.8057976,-6.733139,-5.5403924,-6.163619,-5.490399,-6.711386,-1.0530494,-5.8294606,-3.948956,-7.1862245,-2.0313773,-5.8713527,-1.433689,-4.937759,-6.479437,-5.211783,-3.4021091,-5.8473935,-6.4224997,-5.0406,-5.3490233,-5.815478
9,28,-5.451055,-4.8426924,-4.5400615,-4.9321055,-4.74424,-4.211028,-6.4377084,-5.4344897,-2.3102155,-3.649499,-4.319077,-5.405827,-5.584108,-6.78455,-5.550076,-4.771884,-2.9895635,-6.9317737,-5.052692,-5.7539535,-4.3886547,-5.527229,-5.0133085,-6.118706,-2.400165,-6.439853,-3.377118,-6.5005097,-0.91438234,-5.3434486,-2.450295,-6.0369744,-5.9863977,-4.339562,-3.9836388,-5.194922,-6.409392,-5.547095,-3.937625,-4.939498
10,28,-6.40517,-6.5346055,-5.621768,-5.878614,-5.143016,-4.7765403,-8.4359,-6.05644,-5.0703845,-5.2388525,-5.5953326,-6.582137,-7.1726985,-9.840117,-6.8555756,-6.6457596,-5.1155534,-8.657241,-6.382862,-7.4095592,-6.857071,-7.267006,-5.377941,-8.63192,-2.7903752,-7.2143993,-3.9632597,-10.132607,-0.19083416,-6.4354205,-4.3342476,-6.848439,-7.1829877,-6.2858157,-6.239775,-6.436461,-5.940787,-5.8666277,-5.810616,-6.9892616
11,28,-5.2772536,-5.2242284,-4.2240224,-5.0925326,-4.407124,-4.803767,-6.753667,-5.277522,-4.6418576,-3.7073941,-4.317477,-6.1132975,-5.9083605,-7.151325,-5.287629,-5.46859,-3.9927425,-7.092206,-5.114637,-6.791504,-5.3147593,-5.963666,-4.4971876,-6.751917,-1.8178133,-5.7693076,-3.8232226,-7.7051997,-1.1613418,-5.68431,-1.3659328,-5.017716,-5.646676,-4.717645,-3.9880924,-5.596616,-5.8077326,-4.261741,-4.4457855,-5.578183
12,28,-5.8735247,-5.141758,-5.2532654,-5.123343,-5.6308146,-5.291598,-6.114524,-5.8042126,-3.7670202,-4.5312586,-4.0173826,-5.7232046,-6.163228,-8.4016285,-6.070072,-6.3807583,-3.1150796,-7.112411,-7.683859,-6.6104984,-4.8065825,-5.8954754,-4.975858,-6.4234996,-2.256188,-6.118227,-3.1731477,-6.430415,-0.5677604,-6.296143,-2.6791961,-5.403223,-6.659123,-5.1631,-4.254549,-6.064813,-5.914113,-5.3464303,-4.600158,-5.2726927
13,30,-6.1486864,-5.017059,-4.5175076,-4.147623,-5.900822,-5.8005342,-5.0630503,-5.929879,-5.2697315,-4.453519,-3.6716552,-6.216918,-6.0045147,-7.495571,-6.066607,-6.1542153,-2.8818357,-6.967725,-7.4552927,-7.3661118,-5.540652,-5.761671,-4.3330283,-5.39841,-1.9345782,-6.3203187,-2.0918562,-7.012763,-2.705061,-6.555672,-0.9441549,-5.1566906,-6.5263023,-4.689989,-5.3305025,-6.1032715,-7.003898,-5.01473,-2.945997,-5.6093884
